Temperature_C,Pressure_P,Message Number
26.24,97687.56,0
26.26,97687.89,1
26.26,97688.22,2
26.24,97686.69,3
26.23,97687.88,4
26.22,97687.89,5
26.2,97687.16,6
26.2,97687.64,7
26.21,97685.92,8
26.21,97686.58,9
26.21,97686.2,10
26.19,97686.78,11
26.13,97685.46,12
26.09,97686,13
26.04,97683.65,14
25.99,97684.23,15
25.93,97684.14,16
25.88,97682.84,17
25.82,97681.8,18
25.8,97684.44,19
25.74,97681.96,20
25.7,97679.31,21
25.69,97680.43,22
25.68,97679.94,23
25.65,97681.09,24
25.63,97679.89,25
25.61,97680.71,26
25.55,97679.06,27
25.53,97680,28
25.51,97678.77,29
25.49,97680.36,30
25.48,97679.59,31
25.47,97680.98,32
25.44,97679.14,33
25.44,97679.39,34
25.42,97679.45,35
25.4,97679.61,36
25.36,97677.55,37
25.34,97679.49,38
25.28,97676.45,39
25.28,97681.5,40
25.27,97681.17,41
25.24,97680.2,42
25.22,97681.67,43
25.19,97683.26,44
25.18,97683,45
25.16,97682.86,46
25.12,97683.61,47
25.07,97684.61,48
25.04,97683.88,49
25.05,97685.27,50
25.04,97684.69,51
25.03,97684.49,52
25.02,97683.2,53
25.01,97681.34,54
24.98,97681.2,55
24.96,97678.31,56
24.96,97680.22,57
24.97,97679.19,58
24.96,97679.47,59
24.96,97679.88,60
24.97,97679.84,61
24.96,97678.44,62
24.95,97680.13,63
24.94,97678.02,64
24.92,97678.59,65
24.91,97676.27,66
24.9,97677.38,67
24.89,97676.03,68
24.89,97677.06,69
24.89,97674.66,70
24.89,97677.34,71
24.86,97675.27,72
24.86,97676.7,73
24.84,97676.81,74
24.83,97679.05,75
24.81,97677.19,76
24.81,97677.69,77
24.79,97676.89,78
24.78,97678.77,79
24.76,97679.3,80
24.76,97679.02,81
24.74,97678.4,82
24.73,97678.97,83
24.72,97678.34,84
24.7,97677.34,85
24.7,97677.58,86
24.71,97676.52,87
24.72,97677.65,88
24.72,97678.59,89
24.74,97678.77,90
24.76,97679.06,91
24.77,97676.88,92
24.78,97676.7,93
24.8,97677.18,94
24.82,97676.95,95
24.83,97676.23,96
24.85,97677.59,97
24.86,97678.2,98
24.87,97677.7,99
24.87,97676.22,100
24.88,97676.47,101
24.9,97677.84,102
24.91,97676.84,103
24.91,97677.67,104
24.9,97676.41,105
24.91,97674.7,106
24.92,97675.59,107
24.93,97675.12,108
24.94,97675.66,109
24.95,97675.45,110
24.96,97673.56,111
24.96,97674.23,112
24.96,97674.11,113
24.97,97673.25,114
24.99,97674.06,115
24.99,97674.43,116
25,97675.44,117
25.02,97676.34,118
25.03,97676.28,119
25.05,97676.31,120
25.06,97676.28,121
25.06,97678.92,122
25.05,97677.84,123
25.06,97678.81,124
25.07,97679.17,125
25.07,97678.76,126
25.07,97678.06,127
25.08,97677.06,128
25.1,97677.53,129
25.11,97675.67,130
25.12,97674.73,131
25.13,97674.7,132
25.15,97675.01,133
25.15,97675.88,134
25.16,97674.28,135
25.16,97673.39,136
25.17,97674.58,137
25.16,97672.3,138
25.16,97673.16,139
25.16,97673.62,140
25.16,97674.48,141
25.17,97674.33,142
25.18,97675.36,143
25.19,97674.73,144
25.19,97675.48,145
25.19,97673.84,146
25.21,97674.75,147
25.22,97673.67,148
25.22,97673.67,149
25.23,97674.41,150
25.23,97675.12,151
25.23,97673.84,152
25.23,97674.74,153
25.23,97673.75,154
25.21,97674.68,155
25.21,97675.47,156
25.2,97673.52,157
25.22,97674.91,158
25.22,97674.13,159
25.22,97674.82,160
25.23,97673.42,161
25.23,97672.44,162
25.22,97670.28,163
25.23,97672.45,164
25.24,97671.25,165
25.26,97671.86,166
25.27,97672.3,167
25.28,97672.46,168
25.29,97671.66,169
25.3,97670.64,170
25.31,97669.66,171
25.32,97666.84,172
25.33,97666.61,173
25.34,97666.56,174
25.34,97664.66,175
25.34,97665.25,176
25.33,97667.14,177
25.32,97665.98,178
25.33,97666.77,179
25.33,97666.73,180
25.32,97667.63,181
25.31,97665.16,182
25.32,97666.39,183
25.32,97664.56,184
25.32,97665.48,185
25.33,97666.11,186
25.33,97665.94,187
25.32,97666.3,188
25.32,97666.84,189
25.33,97670.08,190
25.34,97669.7,191
25.32,97669.12,192
25.32,97670.06,193
25.3,97670.27,194
25.29,97668.52,195
25.29,97670.51,196
25.31,97669.03,197
25.31,97668.94,198
25.32,97670.06,199
25.32,97670.34,200
25.33,97669.86,201
25.34,97671.31,202
25.34,97673.46,203
25.34,97673.17,204
25.34,97671.9,205
25.35,97671.86,206
25.36,97669.88,207
25.35,97670.94,208
25.37,97671.95,209
25.36,97670.4,210
25.37,97671.41,211
25.38,97671.97,212
25.38,97673.45,213
25.37,97671.33,214
25.34,97670.98,215
25.33,97669.37,216
25.31,97671.75,217
25.29,97670.94,218
25.3,97671.53,219
25.3,97670.88,220
25.29,97670.51,221
25.28,97671.59,222
25.26,97671.98,223
25.24,97672.29,224
25.24,97672.73,225
25.25,97673.15,226
25.27,97672.33,227
25.25,97670.59,228
25.23,97670.66,229
25.26,97670.22,230
25.24,97669.72,231
25.26,97670.13,232
25.26,97670.34,233
25.26,97670.09,234
25.25,97668.98,235
25.24,97670.38,236
25.21,97668.81,237
25.23,97669.73,238
25.23,97668.48,239
25.24,97669.09,240
25.25,97671.13,241
25.26,97668.61,242
25.27,97669.13,243
25.27,97668.91,244
25.28,97669.98,245
25.29,97670.67,246
25.31,97672.21,247
25.32,97672.98,248
25.32,97673.11,249
25.32,97673.45,250
25.33,97673.41,251
25.34,97674.29,252
25.34,97673.59,253
25.34,97673.75,254
25.36,97672.97,255
25.37,97673.92,256
25.38,97673.13,257
25.38,97673.8,258
25.38,97674.33,259
25.38,97676.02,260
25.38,97675.59,261
25.39,97677.26,262
25.39,97677.42,263
25.39,97675.11,264
25.37,97676.06,265
25.39,97675.77,266
25.4,97676.59,267
25.39,97678.7,268
25.39,97678.16,269
25.41,97678.38,270
25.4,97679.16,271
25.4,97677.84,272
25.41,97677.27,273
25.41,97677.97,274
25.4,97678.58,275
25.39,97678.78,276
25.39,97678.7,277
25.4,97678.58,278
25.39,97678.45,279
25.39,97678.58,280
25.38,97678.45,281
25.38,97677.7,282
25.38,97677.21,283
25.39,97678.45,284
25.4,97678.47,285
25.4,97678.63,286
25.4,97678.3,287
25.4,97678.13,288
25.39,97677.59,289
25.39,97676.44,290
25.39,97677.33,291
25.39,97676.77,292
